,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费 
5554,5555,021254,富国沪深300ESG基准ETF发起式联接A,2025-07-18,1.1475,1.1475,0.68,0.98,4.81,7.14,7.44,17.18,,,4.56,14.75,17.3433,0.12%
5555,5556,519971,长信改革红利混合,2025-07-18,1.508,1.903,0.4,5.45,7.56,16.0,12.29,17.17,14.06,5.03,12.54,112.4,17.1717,0.15%
5556,5557,005639,平安300ETF联接A,2025-07-18,1.268,1.268,0.67,1.29,5.47,8.72,7.94,17.17,10.1,2.08,4.85,26.8,17.2663,0.10%
5557,5558,008945,摩根MSCI中国A股ETF联接C,2025-07-18,1.0044,1.0044,0.67,1.24,5.23,8.08,7.19,17.17,7.94,-2.18,4.08,0.44,17.4325,0.00%
5558,5559,010234,华泰柏瑞量化增强混合C,2025-07-18,1.399,1.491,0.58,0.94,5.11,9.73,7.78,17.17,8.83,-1.06,6.39,-0.8,18.2587,0.00%
5559,5560,017702,鹏扬均衡成长混合A,2025-07-18,1.0794,1.0794,0.4,1.07,3.41,6.98,8.96,17.17,7.91,,6.89,7.94,17.8256,0.15%
5560,5561,009865,招商景气优选股票C,2025-07-18,0.6037,0.6037,0.55,5.32,10.75,29.05,40.36,17.16,6.34,-12.76,35.03,-39.63,18.8854,0.00%
5561,5562,015039,长信金利趋势混合C,2025-07-18,0.4516,0.638,0.04,1.39,7.19,12.53,7.94,17.16,7.91,-3.05,7.2,-1.83,17.3075,0.00%
5562,5563,004231,中欧行业成长混合(LOF)C,2025-07-18,1.695,1.893,-0.02,-0.22,5.27,13.5,13.6,17.16,10.17,-10.32,14.23,106.0,18.548,0.00%
5563,5564,018315,易方达中证装备产业ETF联接发起式A,2025-07-18,0.9246,0.9246,0.49,1.38,7.49,11.02,5.21,17.16,,,1.97,-7.54,16.1412,0.12%
5564,5565,011047,富国优质企业混合C,2025-07-18,0.8856,0.8856,0.91,5.4,7.75,18.17,23.09,17.14,17.59,0.29,21.55,-11.44,18.3008,0.00%
5565,5566,012394,农银中证新华社民族品牌指数,2025-07-18,0.769,0.769,0.92,1.63,6.33,7.04,4.47,17.14,-0.74,-10.72,1.16,-23.11,16.692,0.12%
5566,5567,010147,博道嘉兴一年持有期混合,2025-07-18,0.9601,0.9601,0.11,2.62,7.2,19.82,11.21,17.13,4.93,-10.15,12.12,-3.99,18.0354,0.15%
5567,5568,011918,山证资管品质生活混合C,2025-07-18,0.6783,0.6783,0.59,0.52,0.28,5.64,5.26,17.13,-8.14,-20.44,5.05,-32.17,16.8878,0.00%
5568,5569,013878,圆信永丰中证500指数增强发起A,2025-07-18,0.8417,0.8417,0.37,1.2,6.33,10.91,8.16,17.13,0.01,-6.28,4.82,-15.83,17.8521,0.12%
5569,5570,003242,创金合信量化发现混合C,2025-07-18,1.2308,1.2308,0.54,0.84,4.22,8.03,7.8,17.12,-6.84,-13.33,4.54,23.08,18.0284,0.00%
5570,5571,016998,创金合信产业臻选平衡混合C,2025-07-18,0.8544,0.8544,0.41,1.23,1.17,9.64,15.48,17.12,-11.57,,15.04,-14.56,18.6337,0.00%
5571,5572,015087,易方达优势先锋一年持有混合(FOF)A,2025-07-18,0.9517,0.9517,0.07,3.56,8.25,15.37,14.24,17.12,1.7,,13.04,-4.83,17.6827,0.12%
5572,5573,020102,易方达中证沪港深300ETF发起式联接A,2025-07-18,1.2874,1.2874,0.84,1.75,5.05,10.03,12.38,17.12,,,9.04,28.74,17.4206,0.12%
5573,5574,011911,华夏消费优选混合A,2025-07-18,0.5922,0.5922,0.05,1.47,2.21,7.17,5.32,17.11,-1.3,-15.68,4.15,-40.78,17.8273,0.15%
5574,5575,002051,诺安创新驱动混合C,2025-07-18,1.075,1.19,0.66,1.51,4.17,5.81,3.86,17.1,4.47,20.65,3.17,19.01,16.2162,0.15%
5575,5576,007135,广发中证A100ETF联接A,2025-07-18,1.1701,1.1701,0.84,1.22,5.28,7.75,7.99,17.1,9.89,-1.17,4.96,17.01,17.221,0.12%
5576,5577,014794,富国远见优选混合A,2025-07-18,0.9696,0.9696,-0.27,2.04,1.28,4.21,10.99,17.1,3.28,-7.89,9.45,-3.04,16.2311,0.15%
5577,5578,021212,大成中证A50ETF联接A,2025-07-18,1.1497,1.1497,0.94,0.95,4.83,6.96,6.93,17.1,,,3.7,14.97,17.0178,0.10%
5578,5579,200013,长城积极增利债券A,2025-07-18,1.2657,1.7281,0.08,0.97,4.5,8.59,8.4,17.09,11.07,3.79,9.85,84.59,17.401,0.08%
5579,5580,006556,海富通研究精选混合C,2025-07-18,1.273,1.273,0.34,4.89,7.75,17.29,13.54,17.09,1.35,-14.16,12.67,27.3,17.9468,0.00%
5580,5581,008404,华泰紫金泰盈混合A,2025-07-18,1.3563,1.3563,0.65,2.27,2.99,8.2,9.45,17.09,4.64,-2.42,8.05,35.63,17.7242,0.12%
5581,5582,011604,兴业高端制造混合C,2025-07-18,0.7907,0.7907,0.23,3.74,6.79,10.9,4.85,17.09,-7.23,-17.74,5.45,-20.93,16.5365,0.00%
5582,5583,014330,国联优势产业混合C,2025-07-18,1.0522,1.0522,0.28,-0.07,1.96,5.28,9.84,17.09,13.09,-0.86,6.5,5.22,17.1454,0.00%
5583,5584,019832,华夏中证智选300价值稳健策略ETF发起式联接C,2025-07-18,1.2433,1.2433,0.79,0.73,4.44,7.83,7.86,17.09,,,4.6,24.33,17.6031,0.00%
5584,5585,016398,九泰锐益混合(LOF)C,2025-07-18,1.179,1.179,0.34,-0.08,6.89,9.98,2.97,17.08,-14.19,,0.51,-31.97,15.8153,0.00%
5585,5586,160603,鹏华普天收益混合,2025-07-18,2.298,4.941,0.31,2.22,4.55,9.48,10.16,17.07,9.32,-0.39,8.5,1288.91,17.1254,0.14%
5586,5587,080015,长盛中小盘精选混合,2025-07-18,0.864,0.864,0.0,1.17,2.86,7.87,8.41,17.07,8.95,8.14,8.0,-13.6,16.9147,0.12%
5587,5588,006969,圆信永丰高端制造混合,2025-07-18,1.8456,1.8456,0.88,1.99,6.8,11.77,3.98,17.07,-0.05,-19.84,3.35,84.56,16.0463,0.15%
5588,5589,009619,博时女性消费主题混合A,2025-07-18,0.7282,0.7861,0.08,-0.3,0.37,8.23,12.39,17.07,2.85,-9.79,9.36,-23.61,16.9611,0.18%
5589,5590,007894,平安估值精选混合C,2025-07-18,1.1485,1.1485,0.39,-1.26,2.57,-2.34,3.67,17.07,-4.82,-17.31,1.14,14.85,19.1761,0.00%
5590,5591,009662,平安研究睿选混合C,2025-07-18,0.648,0.648,-0.55,-0.02,10.39,11.96,3.09,17.07,-12.86,-37.13,3.63,-35.2,17.3275,0.00%
5591,5592,015604,华安动力领航混合A,2025-07-18,1.0148,1.0148,-0.65,1.89,6.74,27.41,16.79,17.07,6.54,,16.76,1.48,18.4407,0.15%
5592,5593,169101,东方红睿丰混合,2025-07-18,1.441,2.343,-1.03,6.27,10.85,23.27,17.06,17.06,0.91,-27.81,21.91,186.95,18.3087,0.15%
5593,5594,005762,招商MSCI中国A股国际ETF联接C,2025-07-18,1.4019,1.4019,0.67,1.22,5.26,8.25,7.59,17.06,8.79,-0.79,4.49,40.19,17.3531,0.00%
5594,5595,018706,兴银先进制造智选混合发起A,2025-07-18,1.1481,1.1481,0.07,2.4,6.79,12.17,10.34,17.06,,,10.36,14.81,17.4166,0.15%
5595,5596,001171,工银养老产业股票A,2025-07-18,1.531,1.531,1.12,4.72,8.43,10.38,16.34,17.05,-4.43,-14.61,14.85,53.1,16.2491,0.15%
5596,5597,006905,泰康产业升级混合C,2025-07-18,1.7549,1.9229,-0.31,2.28,6.8,7.4,11.08,17.04,4.6,-1.32,10.09,92.25,17.9923,0.00%
5597,5598,015208,信澳健康中国混合C,2025-07-18,2.198,2.198,1.06,3.88,7.27,19.46,21.04,17.04,-8.8,-10.5,17.86,3.0,16.7906,0.00%
5598,5599,015486,平安策略优选1年持有混合C,2025-07-18,0.9186,0.9186,-0.17,11.05,17.74,20.22,11.98,17.03,-3.75,,13.52,-8.14,19.906,0.00%
5599,5600,019323,中信建投致远混合C,2025-07-18,1.1391,1.1391,-0.07,1.51,5.86,15.15,10.89,17.03,,,11.96,13.91,18.0782,0.00%
5600,5601,020753,华夏中证智选300成长创新策略ETF发起式联接A,2025-07-18,1.1721,1.1721,0.72,1.07,4.38,8.49,7.83,17.03,,,5.91,17.21,16.8944,0.12%
5601,5602,110020,易方达沪深300ETF联接A,2025-07-18,1.6269,1.6269,0.68,1.31,5.51,8.81,7.91,17.02,9.9,1.73,4.8,62.69,17.1274,0.12%
5602,5603,013049,兴业能源革新股票A,2025-07-18,0.7612,0.7612,-0.09,2.12,5.56,8.51,1.91,17.02,-5.19,-12.91,3.19,-23.88,16.7843,0.15%
5603,5604,001719,工银国家战略股票,2025-07-18,1.816,1.816,-0.06,1.17,4.19,5.58,7.27,17.01,-14.5,-21.18,4.91,81.6,20.1853,0.15%
5604,5605,008984,财通科技创新混合C,2025-07-18,1.0874,1.0874,0.52,6.34,13.33,32.74,14.6,17.01,10.09,-21.75,15.4,8.74,17.9265,0.00%
5605,5606,011709,中欧嘉益一年持有期混合C,2025-07-18,0.989,0.989,0.77,2.48,5.62,12.96,14.71,17.01,3.81,1.47,14.67,-1.1,19.5166,0.00%
5606,5607,005885,金鹰信息产业股票C,2025-07-18,2.6321,3.5706,-0.03,2.29,5.69,8.08,5.4,17.0,-9.39,-19.56,7.47,241.03,16.9147,0.00%
5607,5608,040007,华安中小盘成长混合,2025-07-18,2.8363,4.1512,0.49,4.45,9.76,6.13,0.91,17.0,8.52,4.18,0.94,183.63,16.7682,0.15%
5608,5609,000313,华安沪深300增强C,2025-07-18,2.0724,2.4324,0.67,0.99,5.04,9.3,9.28,16.99,8.47,-5.13,6.48,155.89,17.3765,0.00%
5609,5610,410010,华富中小企业100指数增强,2025-07-18,1.1359,1.1359,0.1,2.16,5.62,12.67,7.45,16.99,-5.77,-18.85,6.54,13.59,17.5637,0.12%
5610,5611,007136,广发中证A100ETF联接C,2025-07-18,1.1619,1.1619,0.83,1.22,5.27,7.72,7.94,16.99,9.68,-1.47,4.9,16.19,17.1034,0.00%
5611,5612,008253,华宝致远混合(QDII)A,2025-07-18,1.1665,1.1665,0.16,3.18,8.52,31.94,3.24,16.99,39.37,15.54,6.26,16.65,16.3011,0.15%
5612,5613,015890,富国中证500基本面精选股票发起式C,2025-07-18,0.977,0.977,0.08,1.31,6.76,11.95,8.28,16.99,1.37,,7.4,-2.3,17.9524,0.00%
5613,5614,019150,国联国企改革混合C,2025-07-18,1.806,2.003,0.28,-0.11,1.64,3.69,8.8,16.99,,,5.99,19.0,16.784,0.00%
5614,5615,021359,大成中证A50ETF联接E,2025-07-18,1.1488,1.1488,0.93,0.94,4.83,6.93,6.87,16.99,,,3.64,14.85,16.9024,0.00%
5615,5616,001030,天弘云端生活优选混合A,2025-07-18,1.1539,1.1539,-0.16,0.78,1.78,7.12,6.29,16.98,2.97,-14.31,6.82,15.39,16.9809,0.15%
5616,5617,000991,工银战略转型股票A,2025-07-18,3.741,3.741,0.67,1.08,6.4,7.44,9.84,16.98,3.74,-3.41,7.81,274.1,18.7996,0.15%
5617,5618,004549,富安达消费主题混合,2025-07-18,1.0786,1.6226,-0.39,3.55,6.25,12.94,8.37,16.98,-12.19,-9.35,5.79,56.15,17.2646,0.15%
5618,5619,007083,平安高端制造混合C,2025-07-18,1.3665,1.3665,-0.5,0.03,10.43,11.92,3.11,16.98,-13.32,-37.01,3.6,36.65,17.2458,0.00%
5619,5620,009103,鹏扬红利优选混合C,2025-07-18,1.1956,1.1956,0.58,1.93,3.18,9.39,10.27,16.97,15.47,9.93,8.49,19.56,18.0956,0.00%
5620,5621,006295,工银养老2035(FOF)A,2025-07-17,1.4931,1.4931,0.56,1.79,2.82,6.07,10.94,16.97,7.86,1.45,10.3,49.31,,0.05%
5621,5622,005121,富国兴利增强债券A,2025-07-18,1.6115,1.6115,0.17,0.86,3.12,5.54,4.26,16.96,11.18,6.78,4.51,61.15,17.183,0.08%
5622,5623,009782,富国兴泉回报12个月持有期混合A,2025-07-18,0.9385,0.9385,0.87,4.9,7.71,17.01,22.14,16.96,19.84,-0.2,19.63,-6.15,18.0949,0.15%
5623,5624,011831,富国天恒混合C,2025-07-18,1.2299,1.2299,-0.52,-0.86,2.53,11.39,10.32,16.96,13.08,27.06,9.89,22.99,16.8884,0.00%
5624,5625,012878,中信建投量化精选6个月持有混合A,2025-07-18,0.8475,0.8475,0.51,0.96,5.45,10.35,9.98,16.96,5.29,-3.82,7.65,-15.25,17.5777,0.15%
5625,5626,018043,天弘纳斯达克100指数发起(QDII)A,2025-07-18,1.6995,1.6995,-0.01,1.18,5.43,23.66,6.79,16.96,36.32,,8.85,69.95,16.221,0.10%
5626,5627,021255,富国沪深300ESG基准ETF发起式联接C,2025-07-18,1.1447,1.1447,0.69,0.97,4.8,7.09,7.33,16.95,,,4.43,14.47,17.1049,0.00%
5627,5628,012967,广发行业严选三年持有期混合A,2025-07-18,0.5301,0.5301,0.06,-0.09,4.12,7.81,4.54,16.94,-6.39,-42.0,3.33,-46.99,14.8397,0.15%
5628,5629,200015,长城优化升级混合A,2025-07-18,3.6838,3.7988,-0.19,3.47,5.14,9.0,3.49,16.94,-14.19,-34.66,7.31,312.24,17.3147,0.15%
5629,5630,019258,恒越智选科技混合C,2025-07-18,1.0764,1.0764,-1.36,10.55,11.26,14.24,-3.47,16.94,,,-1.53,7.64,18.9261,0.00%
5630,5631,012709,东方红中证红利低波动指数C,2025-07-18,1.3887,1.4577,0.46,-0.31,2.54,7.14,8.95,16.93,31.57,50.16,4.68,48.35,18.3686,0.00%
5631,5632,015973,工银恒嘉一年持有混合A,2025-07-18,0.8987,0.8987,0.5,2.69,5.93,12.3,15.9,16.93,-3.31,,15.07,-10.13,17.9861,0.15%
5632,5633,007137,鹏扬元合量化大盘A,2025-07-18,1.2285,1.5025,0.61,0.86,5.41,11.31,8.84,16.92,6.22,-17.5,6.47,51.2,17.425,0.15%
5633,5634,012156,汇添富成长先锋六个月持有混合C,2025-07-18,0.6266,0.6266,0.5,2.59,6.75,12.17,12.33,16.92,13.97,-16.39,11.06,-37.34,18.0038,0.00%
5634,5635,013081,中信保诚中证800有色指数(LOF)C,2025-07-18,1.7699,1.7699,2.26,1.99,6.61,14.47,13.61,16.92,15.73,2.66,20.15,-13.39,19.9851,0.00%
5635,5636,017670,大成卓远视野混合C,2025-07-18,1.1676,1.1676,0.92,2.18,3.41,9.15,16.63,16.92,,,14.05,16.76,,0.00%
5636,5637,002780,前海联合泓鑫混合A,2025-07-18,2.6271,2.7471,0.38,0.9,4.84,8.13,9.46,16.91,6.08,-9.7,9.21,174.63,18.8841,0.15%
5637,5638,012434,银华多元回报一年持有期混合,2025-07-18,0.7652,0.7652,0.6,3.03,5.85,11.22,10.48,16.91,2.22,-10.72,9.02,-23.48,17.7956,0.15%
5638,5639,673081,西部利得祥运混合A,2025-07-18,0.8268,0.9568,0.22,0.51,1.72,3.86,9.12,16.9,-9.82,-22.66,8.7,-6.94,14.993,0.08%
5639,5640,011806,嘉实优质核心两年持有混合C,2025-07-18,0.5561,0.5561,-0.13,1.98,7.71,8.61,4.26,16.9,-6.1,-34.1,4.92,-44.39,16.1931,0.00%
5640,5641,018690,德邦大健康灵活配置混合C,2025-07-18,1.2232,1.2232,0.51,0.77,5.51,4.42,8.88,16.9,-19.49,,5.24,-21.01,15.5379,0.00%
5641,5642,001140,工银总回报灵活配置混合A,2025-07-18,2.083,2.083,0.1,2.51,4.52,9.92,5.63,16.89,10.21,1.86,5.41,108.3,17.22,0.15%
5642,5643,014089,永赢稳健增强债券C,2025-07-18,1.096,1.096,0.08,2.01,3.68,8.32,7.6,16.89,11.68,8.94,8.57,9.6,16.509,0.00%
5643,5644,015387,中欧沪深300指数增强A,2025-07-18,0.9939,0.9939,0.5,1.37,5.78,9.11,8.81,16.89,8.83,-3.18,5.77,-0.61,17.3851,0.15%
5644,5645,021216,华宝中证A50ETF发起式联接A,2025-07-18,1.1807,1.1807,0.92,0.93,4.67,6.98,6.98,16.89,,,3.83,18.07,16.8316,0.10%
5645,5646,018707,兴银先进制造智选混合发起C,2025-07-18,1.1465,1.1465,0.06,2.38,6.73,12.03,10.09,16.89,,,10.09,14.65,17.253,0.00%
5646,5647,008405,华泰紫金泰盈混合C,2025-07-18,1.3417,1.3417,0.65,2.26,2.98,8.16,9.34,16.88,4.25,-2.99,7.93,34.17,17.5177,0.00%
5647,5648,014958,华富消费成长股票C,2025-07-18,0.8302,0.8302,0.51,1.7,3.13,7.79,8.06,16.88,-7.68,,4.89,-16.98,17.2599,0.00%
5648,5649,016274,华泰保兴鑫成优选混合A,2025-07-18,0.9057,0.9057,0.69,0.53,3.75,6.87,7.54,16.88,-4.17,,4.84,-9.43,16.8494,0.15%
5649,5650,004319,国寿安保尊裕优化回报债券C,2025-07-18,1.171,1.266,0.09,0.43,2.27,4.46,6.07,16.87,11.52,12.81,5.88,28.15,16.6335,0.00%
5650,5651,007965,民生加银品质消费股票A,2025-07-18,0.8742,0.8742,0.94,3.82,6.02,8.95,19.62,16.87,-3.06,-25.38,15.5,-12.58,17.3265,0.15%
5651,5652,014050,中银远见成长混合C,2025-07-18,0.8182,0.8182,0.86,4.72,7.21,15.3,11.55,16.87,-19.5,-17.94,9.18,-18.18,18.511,0.00%
5652,5653,161128,易方达标普信息科技指数(QDII-LOF)A(人民币),2025-07-17,5.3875,5.3875,0.74,1.75,8.81,33.49,10.67,16.86,55.25,119.04,10.49,438.75,,0.12%
5653,5654,540006,汇丰晋信大盘股票A,2025-07-18,4.3407,4.4007,1.08,0.81,5.5,8.83,5.73,16.86,10.09,-2.53,7.3,359.87,17.6628,0.15%
5654,5655,010678,中欧均衡成长混合A,2025-07-18,0.7644,0.7644,0.41,1.19,5.96,9.4,9.2,16.86,1.87,-6.56,6.08,-23.56,17.4374,0.15%
5655,5656,010624,富国稳健增长混合A,2025-07-18,0.7277,0.7277,0.37,3.44,7.3,12.06,11.58,16.86,-4.58,-16.97,11.94,-27.23,17.4657,0.15%
5656,5657,005343,长安裕盛灵活配置混合A,2025-07-18,0.5452,0.5452,2.08,3.65,11.27,14.56,-3.16,16.85,-26.83,-56.48,-0.58,-45.48,17.2978,0.12%
5657,5658,501097,国寿安保科技创新混合(LOF),2025-07-18,1.1486,1.1486,-0.12,9.05,14.52,21.24,8.59,16.85,1.06,-12.46,10.92,14.86,17.9745,0.15%
5658,5659,017407,长信颐天养老三年持有混合(FOF)Y,2025-07-16,1.0137,1.0137,-0.04,0.75,2.05,3.06,6.81,16.85,5.81,,5.55,5.98,,0.00%
5659,5660,006555,浦银安盛全球智能科技(QDII)A,2025-07-18,2.194,2.194,-0.3,1.68,5.49,28.79,4.13,16.84,41.38,81.61,5.89,119.4,16.0233,0.15%
5660,5661,011113,富国军工主题混合C,2025-07-18,1.4376,1.4376,0.03,2.03,7.59,12.65,12.75,16.84,-9.56,-27.13,7.96,-27.5,14.7601,0.00%
5661,5662,012596,汇添富中证800ETF联接A,2025-07-18,0.9578,0.9578,0.58,1.24,5.61,9.03,8.1,16.83,5.66,-2.62,5.6,-4.22,16.9904,0.05%
5662,5663,008065,汇添富中盘积极成长混合A,2025-07-18,1.1709,1.1709,0.67,5.86,12.16,23.51,18.09,16.82,3.17,-18.87,17.37,17.07,17.6784,0.15%
5663,5664,011384,南方远见回报股票A,2025-07-18,1.0981,1.0981,0.58,0.22,3.57,10.04,11.8,16.82,28.84,25.48,9.32,9.81,18.9707,0.15%
5664,5665,013885,交银阿尔法核心混合C,2025-07-18,3.0398,3.0398,0.62,5.0,11.37,17.09,10.97,16.82,-4.38,-26.49,8.16,-26.81,16.2047,0.00%
5665,5666,014224,大成聚优成长混合A,2025-07-18,1.0883,1.0883,1.48,0.74,4.15,14.22,15.92,16.82,14.22,7.03,22.71,8.83,20.1612,0.15%
5666,5667,015228,华夏创新研选混合C,2025-07-18,0.9862,0.9862,0.8,7.53,10.25,14.49,9.25,16.82,-4.99,,7.58,-1.38,17.4467,0.00%
5667,5668,019601,鹏华智投800混合C,2025-07-18,1.1697,1.1697,0.29,1.19,5.26,11.64,9.34,16.82,,,7.24,16.97,17.6642,0.00%
5668,5669,021213,大成中证A50ETF联接C,2025-07-18,1.1462,1.1462,0.93,0.94,4.81,6.9,6.79,16.82,,,3.56,14.62,16.7329,0.00%
5669,5670,001662,创金合信沪港深精选混合,2025-07-18,1.091,1.091,0.93,0.65,4.1,5.92,3.51,16.81,-15.49,-32.57,0.74,9.1,16.4354,0.15%
5670,5671,202015,南方沪深300ETF联接A,2025-07-18,1.4423,1.9603,0.68,1.28,5.47,8.76,7.63,16.81,9.67,1.48,4.52,110.02,16.9238,0.12%
5671,5672,011687,易方达龙头优选两年持有混合A,2025-07-18,0.8902,0.8902,1.0,2.58,4.13,4.58,9.13,16.81,0.52,0.28,6.67,-10.98,17.7046,0.15%
5672,5673,013514,长安先进制造混合C,2025-07-18,0.6463,0.6463,0.12,3.82,5.0,7.59,7.75,16.81,-11.2,-15.62,12.64,-35.37,18.2184,0.00%
5673,5674,019306,嘉实研究阿尔法股票C,2025-07-18,1.793,1.793,0.39,1.88,6.85,10.14,8.73,16.81,,,6.47,7.95,17.3429,0.00%
5674,5675,008303,宝盈龙头优选股票A,2025-07-18,1.3246,1.3667,0.65,1.58,1.19,2.58,10.99,16.8,29.81,34.02,7.06,37.01,16.7344,0.15%
5675,5676,018316,易方达中证装备产业ETF联接发起式C,2025-07-18,0.9191,0.9191,0.49,1.38,7.46,10.94,5.05,16.8,,,1.81,-8.09,15.7994,0.00%
5676,5677,007304,京管泰富优势混合C,2025-07-18,1.1109,1.1209,0.66,4.32,7.02,10.49,9.88,16.8,,,8.21,12.17,17.9162,0.00%
5677,5678,200002,长城久泰沪深300指数A,2025-07-18,1.8561,4.7161,0.5,1.19,5.89,13.29,11.6,16.79,0.09,-15.32,8.63,387.02,17.5491,0.15%
5678,5679,011739,华安兴安优选一年持有混合C,2025-07-18,1.0392,1.0392,0.07,-0.74,3.41,5.92,9.47,16.79,6.13,7.19,6.9,3.92,16.5284,0.00%
5679,5680,014791,景顺长城产业臻选一年持有混合C,2025-07-18,1.0176,1.0176,0.27,2.66,7.42,17.14,10.33,16.79,1.64,,9.43,1.76,17.1001,0.00%
5680,5681,257010,国联安小盘精选混合,2025-07-18,1.023,4.273,0.29,0.29,4.28,7.23,7.68,16.78,4.28,8.37,5.03,727.46,18.2659,0.15%
5681,5682,007339,易方达沪深300ETF联接C,2025-07-18,1.6067,1.6067,0.68,1.3,5.49,8.75,7.8,16.78,9.46,1.11,4.68,20.77,16.8934,0.00%
5682,5683,010991,长盛同鑫行业配置混合C,2025-07-18,1.517,1.517,0.66,1.27,4.69,7.67,9.14,16.78,10.65,6.98,9.06,3.13,16.8721,0.00%
5683,5684,013879,圆信永丰中证500指数增强发起C,2025-07-18,0.8325,0.8325,0.36,1.19,6.31,10.82,7.98,16.78,-0.59,-7.13,4.64,-16.75,17.5018,0.00%
5684,5685,160724,嘉实沪深300ETF联接C,2025-07-18,0.9853,1.3629,0.67,1.28,5.46,8.69,7.67,16.77,8.68,-0.49,4.54,29.3,16.8802,0.00%
5685,5686,006286,华泰MSCI中国A股联接A,2025-07-18,1.3836,1.7776,0.67,1.21,5.34,8.31,7.56,16.77,8.42,-0.95,4.34,75.6,17.0558,0.12%
5686,5687,011506,建信高端装备股票A,2025-07-18,1.1589,1.1589,-0.06,2.83,6.17,8.2,2.29,16.77,0.19,-9.16,4.72,15.89,16.1106,0.15%
5687,5688,015088,易方达优势先锋一年持有混合(FOF)C,2025-07-18,0.9434,0.9434,0.06,3.56,8.21,15.29,14.07,16.77,1.09,,12.86,-5.66,17.3237,0.00%
5688,5689,011206,创金合信竞争优势混合A,2025-07-18,0.6282,0.6282,0.59,1.36,5.67,8.91,9.79,16.77,-13.48,-35.83,7.07,-37.18,18.1938,0.12%
5689,5690,020103,易方达中证沪港深300ETF发起式联接C,2025-07-18,1.2817,1.2817,0.84,1.74,5.03,9.95,12.2,16.77,,,8.86,28.17,17.0823,0.00%
5690,5691,070011,嘉实策略混合,2025-07-18,1.029,2.289,0.68,0.39,4.47,4.79,2.9,16.76,0.99,-21.39,0.7,160.8,17.4222,0.15%
5691,5692,688888,浙商聚潮产业成长混合A,2025-07-18,1.54,2.141,0.26,0.79,2.39,7.17,6.87,16.76,-9.99,-20.54,4.9,131.65,18.2796,0.15%
5692,5693,015062,中信建投沪深300指数增强C,2025-07-18,1.0626,1.0626,0.62,0.96,5.02,9.12,8.43,16.76,8.78,,5.78,6.26,17.1425,0.00%
5693,5694,009998,摩根慧见两年持有期混合,2025-07-18,0.8192,0.8192,0.24,5.28,7.99,13.01,13.37,16.75,7.92,-12.37,12.74,-18.08,17.9384,0.15%
5694,5695,010967,博道嘉丰混合A,2025-07-18,0.7554,0.7554,0.65,5.19,9.38,22.87,10.75,16.75,2.86,-12.79,11.61,-24.46,17.5171,0.15%
5695,5696,012519,大成核心趋势混合A,2025-07-18,1.1206,1.1206,1.4,0.86,3.73,14.07,15.57,16.75,13.38,2.64,22.91,12.06,20.0043,0.15%
5696,5697,010865,泓德卓远混合C,2025-07-18,0.5613,0.5613,0.38,2.92,7.16,8.8,5.97,16.74,-6.64,-14.04,5.17,-43.87,14.9028,0.00%
5697,5698,010875,泰康品质生活混合C,2025-07-18,1.2434,1.2434,0.36,1.79,2.9,8.99,13.71,16.74,15.39,12.75,13.12,24.34,17.557,0.00%
5698,5699,009132,广发小盘成长混合(LOF)C,2025-07-18,1.3652,2.3734,0.07,2.09,6.3,6.27,4.93,16.74,-9.51,-40.89,4.28,-15.07,14.0709,0.00%
5699,5700,006220,工银上证50ETF联接A,2025-07-18,1.3349,1.3349,0.85,0.66,4.64,5.82,8.89,16.73,15.96,5.97,5.19,33.49,17.0965,0.10%
5700,5701,012597,汇添富中证800ETF联接C,2025-07-18,0.954,0.954,0.58,1.23,5.61,8.99,8.05,16.73,5.47,-2.91,5.54,-4.6,16.8831,0.00%
5701,5702,004432,南方中证申万有色金属ETF发起联接A,2025-07-18,1.2119,1.2119,2.33,1.87,6.7,14.94,14.01,16.72,12.71,-4.92,21.03,21.19,19.907,0.12%
5702,5703,006021,广发沪深300指数增强C,2025-07-18,1.4725,1.4725,0.44,0.97,4.75,8.5,7.42,16.72,8.45,-6.12,5.16,47.24,17.312,0.00%
5703,5704,019125,博道红利智航股票C,2025-07-18,1.1703,1.2203,0.49,0.33,4.74,8.97,10.2,16.72,,,6.69,22.62,18.2003,0.00%
5704,5705,005344,长安裕盛灵活配置混合C,2025-07-18,0.5379,0.5379,2.09,3.66,11.27,14.54,-3.22,16.71,-27.03,-56.67,-0.65,-46.21,17.1385,0.00%
5705,5706,008272,大成优势企业混合C,2025-07-18,2.2156,2.2156,0.39,1.26,0.7,5.2,6.92,16.71,18.74,26.42,5.75,121.56,17.3952,0.00%
5706,5707,007966,民生加银品质消费股票C,2025-07-18,0.8583,0.8583,0.93,3.8,5.96,9.13,19.69,16.71,-3.57,-26.07,15.55,-14.17,17.1741,0.00%
5707,5708,005640,平安300ETF联接C,2025-07-18,1.2314,1.2314,0.67,1.28,5.44,8.61,7.72,16.7,9.22,0.85,4.61,23.14,16.7979,0.00%
5708,5709,019450,摩根欧洲动力策略股票(QDII)C,2025-07-17,1.6685,1.6685,0.65,-1.47,0.96,10.26,21.22,16.7,,,22.77,31.96,,0.00%
5709,5710,270010,广发沪深300ETF联接A,2025-07-18,1.5588,2.3891,0.67,1.3,5.44,8.67,7.62,16.69,9.49,0.91,4.5,162.88,16.8118,0.12%
